,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR,WQFM_pre,WCARB_pre,WCLAY_pre,WPYR_pre
1216,28289,3043.2,74.4546,16.2329,228.2225,2749.7559,4.8863,0.4431,0.2889,0.262,0.0059,0.37662140754024187,0.21771273002696423,0.37562634819653834,0.030039514236255584
1217,28289,3043.4,75.2101,16.104,228.7748,2746.2366,4.8464,0.4605,0.2872,0.2392,0.0131,0.3789572124727255,0.25055857407382154,0.34243036363593626,0.028053849817516702
1218,28289,3043.6,80.5185,15.6173,233.0824,2736.6892,4.7642,0.4765,0.2884,0.2195,0.0174,0.38723783584292587,0.16536399409967906,0.4169305647533577,0.030467605304037325
1219,28289,3043.8,88.8829,15.1925,236.2945,2681.8687,4.6307,0.5162,0.2631,0.2025,0.0181,0.45631642951641,0.18537065631459296,0.3252144470956754,0.03309846707332167
1220,28289,3044.0,95.5964,15.2983,242.076,2625.7754,4.4798,0.6006,0.2137,0.1716,0.0141,0.5624693294970131,0.0729750625364065,0.3239777804711233,0.040577827495457026
1221,28289,3044.2,100.1422,14.8875,248.4062,2612.8269,4.4742,0.6616,0.1784,0.1485,0.0113,0.5876941744450086,0.07122822914682066,0.29319599477194574,0.04788160163622505
1222,28289,3044.4,109.2584,12.956,252.7749,2612.2104,4.6302,0.6987,0.1352,0.1549,0.0111,0.6057709213008952,0.047839863813495996,0.28924031088503815,0.057148904000570745
1223,28289,3044.6,123.6584,11.3773,255.4522,2616.2612,4.7663,0.6875,0.1129,0.1861,0.0135,0.5722101713116345,0.04283450008653554,0.3336188836924997,0.051336444909330196
1224,28289,3044.8,130.4087,10.5545,257.7861,2642.0803,4.8089,0.6393,0.1228,0.2214,0.0165,0.562324194640022,0.09878191268534008,0.3124223372187256,0.026471555455912257
1225,28289,3045.0,117.0387,10.4149,258.235,2678.3267,4.8012,0.5869,0.1467,0.248,0.0185,0.5183277309915788,0.09341881285386862,0.36708978223764904,0.021163673916903495
1226,28289,3045.2,103.2793,10.4402,257.3798,2695.0559,4.7391,0.5598,0.1729,0.2493,0.0179,0.4926427107873767,0.06777055535460931,0.389431789463135,0.05015494439487898
1227,28289,3045.4,95.656,10.2863,255.6808,2694.3601,4.6576,0.5427,0.1922,0.249,0.0162,0.4611748565321321,0.10356952154795855,0.3906169101267012,0.04463871179320819
1228,28289,3045.6,97.1157,10.2884,254.2897,2700.2075,4.679,0.5207,0.1975,0.2657,0.016,0.4429562768787199,0.07857280704451242,0.43389070572974464,0.044580210347023023
1229,28289,3045.8,100.529,10.3123,252.8061,2700.3882,4.6986,0.503,0.1987,0.2819,0.0164,0.472527022583169,0.06875560542150852,0.41354240929990715,0.04517496269541535
1230,28289,3046.0,101.7208,10.3294,250.034,2693.5127,4.6934,0.496,0.1979,0.2886,0.0176,0.47656405654368483,0.07295604175561947,0.404355773584136,0.046124128116559714
1231,28289,3046.2,100.7735,10.2843,249.7095,2692.8494,4.6729,0.4876,0.2007,0.2923,0.0194,0.5229115796017417,0.06976717331554884,0.3620320503228719,0.04528919675983762
1232,28289,3046.4,99.2152,10.3369,249.2151,2698.7029,4.6069,0.4669,0.213,0.3007,0.0194,0.4476036907287947,0.11416554313153132,0.39912803967450494,0.03910272646516903
1233,28289,3046.6,96.4431,10.3466,247.3887,2705.9219,4.5634,0.4466,0.2311,0.3031,0.0192,0.4551591786188648,0.08833961913750013,0.41657459451564993,0.039926607727985154
1234,28289,3046.8,92.37,10.2797,246.6468,2714.9585,4.7065,0.4365,0.2418,0.3011,0.0205,0.45973269046703885,0.06542550123434343,0.4389919673986065,0.03584984090001125
1235,28289,3047.0,91.1883,10.2171,246.3762,2722.5234,4.8865,0.4355,0.2408,0.3019,0.0217,0.44661226089800937,0.08695057350392581,0.42040981309887776,0.04602735249918707
1236,28289,3047.2,90.9518,9.887,244.9373,2715.782,4.9488,0.4403,0.2335,0.3032,0.0231,0.4239045566733022,0.22025197625085352,0.3163626128053383,0.03948085427050601
1237,28289,3047.4,89.4505,9.8636,244.4088,2707.9773,4.8535,0.4316,0.2442,0.3013,0.0229,0.41125522219811267,0.21182258287307693,0.3436936762417308,0.03322851868707959
1238,28289,3047.6,87.2604,9.8956,242.5901,2706.9404,4.6945,0.4322,0.2604,0.2847,0.0227,0.4619947448976961,0.10931411404645697,0.3840431699250838,0.04464797113076313
1239,28289,3047.8,87.982,10.077,242.1468,2710.9907,4.5136,0.4472,0.2767,0.2531,0.023,0.4630401461505645,0.07803603241343349,0.42204981047072015,0.03687401096528186
1240,28289,3048.0,87.9392,8.958,242.2867,2712.1997,4.4087,0.4675,0.2855,0.222,0.025,0.4432309448782304,0.11321110865600899,0.42059232319893886,0.02296562326682173
1241,28289,3048.2,89.3568,7.9805,243.3008,2701.9673,4.459,0.4792,0.2729,0.221,0.027,0.4457138998329334,0.10464050437834294,0.41550640792402305,0.034139187864700604
1242,28289,3048.4,91.4101,7.114,245.0984,2699.0476,4.5541,0.4727,0.2472,0.2528,0.0272,0.4691275789339495,0.09110083895226422,0.3998890846680628,0.03988249744572346
1243,28289,3048.6,97.1669,7.1767,247.3556,2704.1375,4.6292,0.4388,0.2201,0.3135,0.0275,0.47761108934217883,0.07483513263330425,0.40986970943486,0.03768406858965687
1244,28289,3048.8,100.4656,7.1438,245.8682,2702.417,4.6077,0.4127,0.2112,0.3481,0.0281,0.43974642371993783,0.12661339955595113,0.4043225324037527,0.02931764432035834
1245,28289,3049.0,101.9478,7.4224,246.1816,2699.8538,4.5637,0.4205,0.2098,0.3424,0.0273,0.46018785066514345,0.09668494429801064,0.41037530064145167,0.03275190439539425
1246,28289,3049.2,101.3025,6.8169,246.305,2700.658,4.5265,0.4577,0.2074,0.3078,0.0271,0.4690838490765076,0.07043518903071552,0.4272325453919056,0.03324841650087133
1247,28289,3049.4,97.8747,6.3665,246.5148,2707.5732,4.4954,0.4928,0.2032,0.2758,0.0282,0.44046828157275936,0.10096152219467243,0.4227188250445384,0.035851371188029856
1248,28289,3049.6,93.4365,5.6775,246.5895,2718.1687,4.5013,0.5149,0.1922,0.2635,0.0294,0.4332053307264432,0.09516424513394443,0.444773641066177,0.026856783073435374
1249,28289,3049.8,93.3425,5.4856,248.0203,2718.7075,4.4998,0.5084,0.1811,0.2819,0.0286,0.4531871374990203,0.06173873307566159,0.45419274242988433,0.030881386995433763
1250,28289,3050.0,98.9863,5.7958,251.0182,2709.9097,4.4614,0.5088,0.172,0.2936,0.0256,0.43572051297758974,0.07847676163694878,0.4505861361019648,0.035216589283496684
1251,28289,3050.2,105.1736,6.3477,253.3352,2703.1072,4.3912,0.508,0.1598,0.3089,0.0233,0.44434656474642653,0.07472710751967943,0.4586047212757025,0.022321606458191506
1252,28289,3050.4,110.179,6.9175,256.8677,2690.0356,4.3434,0.49,0.15,0.3366,0.0235,0.4480306958559668,0.11351132864751773,0.41847493444177725,0.019983041054738256
1253,28289,3050.6,114.8068,7.689,259.9186,2683.0857,4.3778,0.4954,0.1457,0.3343,0.0247,0.4787441071251793,0.09366411230537784,0.40574460984639277,0.021847170723050095
1254,28289,3050.8,117.1205,8.7872,259.855,2690.1958,4.3876,0.5265,0.1407,0.3071,0.0258,0.4906612632114871,0.08362310717705068,0.4043578199590308,0.021357809652431368
1255,28289,3051.0,113.968,10.2392,256.1827,2694.9209,4.2988,0.5649,0.1462,0.2634,0.0255,0.46001126121026903,0.09261189689809023,0.4344456840959046,0.012931157795736115
1256,28289,3051.2,105.2585,11.8936,250.3126,2688.3682,4.2532,0.5755,0.1876,0.215,0.0219,0.48112393318010377,0.06302694600637213,0.42932406092687003,0.02652505988665408
1257,28289,3051.4,95.6657,15.0128,246.9473,2682.3301,4.3677,0.5353,0.2625,0.1859,0.0163,0.47864525551454773,0.0827577189213438,0.3981572242576947,0.04043980130641379
1258,28289,3051.6,85.3128,21.0582,239.2933,2673.3596,4.5271,0.4766,0.3344,0.1767,0.0123,0.4638340455400228,0.1662856517738063,0.3306773473459834,0.0392029553401875
1259,28289,3051.8,70.6167,27.133,227.2998,2667.0444,4.6029,0.4232,0.4007,0.1687,0.0074,0.44638600708007636,0.2475799824454383,0.2752350165214676,0.030798993953017773
1260,28289,3052.0,59.075,30.553,222.6653,2671.7007,4.594,0.3923,0.4404,0.1629,0.0045,0.40480104460411753,0.28677004891312186,0.2733324380123776,0.035096468470382974
