,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR
61,61,2112.2,160.4792,5.4368,276.4523,2683.405,4.7847,0.3712,0.0409,0.5792,0.0087
62,62,2112.4,154.4714,5.1868,276.5196,2687.4451,4.7335,0.2836,0.0417,0.651,0.0237
63,63,2112.6,159.833,5.0309,276.4352,2686.4502,4.6748,0.2827,0.0472,0.6488,0.0213
64,64,2112.8,164.773,5.054,276.5372,2680.5259,4.6524,0.3026,0.0224,0.6692,0.0057
65,65,2113,164.5438,4.9217,276.9598,2681.7739,4.6093,0.2998,0.0005,0.6997,0
66,66,2113.2,167.5829,4.921,277.6367,2687.5264,4.5667,0.309,0,0.691,0
67,67,2113.4,173.6139,4.912,277.694,2688.5298,4.5797,0.3785,0.0278,0.5937,0
68,68,2113.6,174.7479,4.8104,276.9316,2688.2522,4.5982,0.307,0.1236,0.5631,0.0063
69,69,2113.8,171.2492,4.8055,276.0539,2697.9233,4.5222,0.2506,0.1411,0.6055,0.0028
70,70,2114,167.2748,4.8015,277.9524,2706.322,4.4358,0.2392,0.099,0.6617,0
71,71,2114.2,166.1591,4.8555,279.6739,2706.1833,4.4123,0.2639,0.0526,0.6835,0
72,72,2114.4,164.7095,4.9363,281.3137,2703.0579,4.4018,0.3403,0.0521,0.6076,0
73,73,2114.6,166.3483,4.9195,284.0499,2705.2046,4.378,0.3889,0.0569,0.5542,0
74,74,2114.8,165.6735,4.7524,282.3756,2709.915,4.3964,0.4221,0.018,0.56,0
75,75,2115,165.3631,4.4971,278.9455,2703.6782,4.4956,0.3744,0,0.6256,0
76,76,2115.2,172.2434,4.6205,276.414,2685.2349,4.6061,0.3102,0,0.6849,0.0048
77,77,2115.4,173.8429,4.8017,272.4393,2678.5503,4.6231,0.3053,0,0.6852,0.0094
78,78,2115.6,168.7456,4.9229,269.5952,2684.6724,4.59,0.3736,0.0108,0.6114,0.0041
79,79,2115.8,167.3865,5.0856,270.5987,2690.6687,4.5626,0.4181,0.0425,0.5394,0
80,80,2116,169.9462,5.4844,273.8916,2694.6245,4.5261,0.4076,0.084,0.5084,0
81,81,2116.2,168.8089,5.1856,277.3583,2695.8645,4.514,0.3885,0.0945,0.517,0
82,82,2116.4,162.9216,4.712,280.8852,2694.4314,4.5386,0.3652,0.0743,0.5503,0.0102
83,83,2116.6,162.2544,4.4409,280.6589,2696.5239,4.5348,0.3642,0.0544,0.5571,0.0243
84,84,2116.8,163.5451,4.2571,279.8749,2703.7705,4.5016,0.3853,0.0505,0.5438,0.0204
85,85,2117,165.3186,4.2799,278.1932,2699.5979,4.5359,0.4119,0.0489,0.5302,0.009
86,86,2117.2,169.6133,4.3222,276.2462,2698.4612,4.5339,0.4126,0.0279,0.5492,0.0103
87,87,2117.4,169.457,4.4392,277.296,2698.7368,4.4937,0.4,0.0017,0.5961,0.0023
88,88,2117.6,167.3749,4.4612,280.6951,2695.8142,4.4708,0.3919,0,0.6079,0.0002
89,89,2117.8,167.3461,4.7335,283.4633,2693.4531,4.4773,0.4215,0.0021,0.5583,0.0181
90,90,2118,163.138,4.6491,286.9265,2694.4653,4.4532,0.3866,0.0155,0.5596,0.0383
91,91,2118.2,164.2273,4.1476,288.7492,2688.2668,4.4392,0.3085,0.0187,0.6285,0.0443
92,92,2118.4,172.95,3.9748,289.9498,2692.2449,4.3883,0.3276,0.0069,0.6412,0.0243
93,93,2118.6,179.1314,3.86,289.3093,2700.334,4.3534,0.3442,0,0.645,0.0109
94,94,2118.8,177.1852,3.6817,288.177,2700.5581,4.3808,0.3374,0,0.6393,0.0234
95,95,2119,175.2535,3.5933,287.5845,2701.98,4.4056,0.3573,0,0.6009,0.0418
96,96,2119.2,176.5365,3.692,287.2488,2707.0679,4.3948,0.3454,0,0.6333,0.0213
97,97,2119.4,172.5425,3.7784,285.8169,2699.7659,4.4305,0.3472,0,0.6513,0.0015
98,98,2119.6,167.4188,3.9059,283.9653,2688.6584,4.4811,0.4127,0.0147,0.5722,0.0004
99,99,2119.8,162.0316,3.8105,283.6169,2683.0632,4.5101,0.3563,0.0099,0.6197,0.0141
100,100,2120,166.8261,3.7419,284.3228,2687.4607,4.5236,0.3062,0,0.6504,0.0434
101,101,2120.2,173.6082,3.8715,286.399,2697.9587,4.5182,0.3176,0,0.6305,0.0519
102,102,2120.4,169.1542,4.0056,286.3379,2698.8582,4.4992,0.3702,0.0049,0.6002,0.0248
103,103,2120.6,169.2303,4.0921,288.1149,2688.8042,4.5062,0.4392,0.0038,0.5489,0.0081
104,104,2120.8,166.2727,4.0678,288.6703,2689.3076,4.4951,0.4231,0,0.5641,0.0128
105,105,2121,169.884,3.9409,291.0006,2701.0684,4.4471,0.3886,0.0112,0.5674,0.0328
106,106,2121.2,172.5015,3.6911,289.9308,2705.717,4.4162,0.3501,0.0573,0.5557,0.0369
107,107,2121.4,171.1779,3.5952,287.8265,2707.1294,4.3959,0.3524,0.0627,0.5538,0.0312
108,108,2121.6,174.4507,3.6864,284.3067,2706.7312,4.3927,0.392,0.0332,0.5614,0.0134
109,109,2121.8,175.5677,3.7777,282.9319,2698.7957,4.4262,0.4062,0.0337,0.56,0
